TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2022-11-02 18:25:53.942,0,1.038510430159353,0,0,0,0.51068014137841,0,0,0,0.4819544979284722,0,0,0,0.142618328914641,0,0,0,-0.1973020213723487,0,0,0,800.6227106227107,611.2454212454213,555.2380952380953,566.1172161172161,0.381897,0.244751,0.906372,3.783264,-0.515900,1.727142,1,4,1,2,2,85.000000
2022-11-02 18:25:54.080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:25:54.580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:25:54.785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:25:54.942,0,0.9651939980648157,0,0,0,0.3803213889095154,0,0,0,0.401910016449255,0,0,0,0.05595863058484365,0,0,0,0.06786182190937347,0,0,1244.249084249084,815.934065934066,654.3589743589744,684.981684981685,596.7399267399268,0.407288,0.262634,0.900146,3.446808,-4.089813,-1.457977,1,4,1,2,2,85.000000
2022-11-02 18:25:55.941,0,0.8277111141964418,0,0,0,0.288315082974121,0,0,0,0.3043449044484226,0,0,0,0.1131454899415689,0,0,0,0.3117693379970043,0,0,724.0659340659341,950.1098901098901,701.5018315018315,753.0769230769231,892.893772893773,0.400879,0.254700,0.898132,2.519684,-5.248718,1.211243,1,4,1,2,2,85.000000
2022-11-02 18:25:56.004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:25:56.752,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:25:56.951,0,0.8136628224051971,0,0,0,0.3616764211265056,0,0,0,0.1141236584064265,0,0,0,0.1392740793852134,0,0,0,0.3400938821380228,0,0,1621.794871794872,790.1465201465202,1023.443223443223,885.2380952380953,933.992673992674,0.373657,0.365967,0.850647,5.899200,-9.749756,-3.932800,1,4,1,2,2,85.000000
2022-11-02 18:25:57.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:25:57.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:25:57.950,0,0.8136628224051971,0,0,0,0.3616764211265056,0,0,0,0.1141236584064265,0,0,0,0.1392740793852134,0,0,0,0.3400938821380228,0,0,749.047619047619,803.040293040293,614.4688644688645,670.8791208791209,559.6703296703297,0.448547,0.398254,0.820923,2.011261,-5.719757,2.265472,1,4,1,2,2,85.000000
2022-11-02 18:25:58.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:25:58.842,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:25:58.941,0,0.6787978034858245,0,0,0,0.1172554206593024,0,0,0,0.163689021655244,0,0,0,0.02298411227219392,0,0,0,-0.07504473873972158,0,0,449.6703296703297,799.0109890109891,597.5457875457876,799.8168498168499,805.8608058608058,0.447021,0.443054,0.809998,4.702911,-4.007568,2.990723,1,4,1,2,2,80.000000
2022-11-02 18:25:59.451,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-02 18:25:59.655,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
