TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2022-11-01 22:08:48.778,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89
2022-11-01 22:08:48.819,0.0,0.0,0.38454527,0.0,0.0,0.0,-0.12986653,0.0,0.0,0.0,0.37259167,0.0,0.0,0.0,0.5056793,0.0,0.0,0.0,0.1170839,0.0,855.82416,759.12085,835.2747,860.65936,668.0586,0.046875,-0.093994140625,1.0069580078125,1.6748046875,-5.405731201171875,-1.33087158203125,1,2.0,1.0,1.0,2.0,55.00
2022-11-01 22:08:49.831,0.0,0.0,0.3980289,1.0122225,0.0,0.0,0.23266089,1.0662661,0.0,0.0,0.4441444,1.09081,0.0,0.0,0.5216115,1.1483871,0.0,0.0,0.106109165,0.79278344,1000.4762,777.25275,833.663,850.58606,810.293,0.342529296875,-0.03851318359375,0.95672607421875,5.57769775390625,-5.944061279296875,2.1234130859375,1,1.0,1.0,1.0,1.0,55.00
2022-11-01 22:08:50.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2022-11-01 22:08:50.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-01 22:08:50.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2022-11-01 22:08:50.856,0.0,0.0,0.60342693,1.0464499,0.0,0.0,0.4823227,0.9993431,0.0,0.0,0.45109499,1.4946318,0.0,0.0,0.5712135,1.3490524,0.0,0.0,0.106716976,0.89050263,1001.28204,899.34064,706.337,818.3516,696.6667,-0.17462158203125,-0.17822265625,1.00128173828125,2.94586181640625,-2.265472412109375,3.30474853515625,1,1.0,1.0,1.0,1.0,55.00
2022-11-01 22:08:51.878,0.0,0.0,0.83514184,1.0374428,0.0,0.0,0.6536252,0.84296644,0.0,0.0,0.45109499,1.4936931,0.0,0.0,0.58680993,1.4471803,0.0,0.0,-2.5326438E-4,0.8453642,761.53845,793.36993,819.15753,841.31866,701.0989,-0.24505615234375,-0.154541015625,0.9638671875,4.747772216796875,5.921630859375,-0.949554443359375,1,1.0,1.0,1.0,1.0,60.00
2022-11-01 22:08:51.985,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench
2022-11-01 22:08:52.272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-01 22:08:52.918,0.0,0.0,0.83514184,1.0374428,0.0,0.0,0.6536252,0.84296644,0.0,0.0,0.45109499,1.4936931,0.0,0.0,0.58680993,1.4471803,0.0,0.0,-2.5326438E-4,0.8453642,956.55676,743.4066,778.0586,875.9707,869.92676,-0.32220458984375,-0.1763916015625,0.94781494140625,1.27105712890625,-5.1739501953125,1.80938720703125,1,1.0,1.0,1.0,1.0,60.00
2022-11-01 22:08:53.654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-01 22:08:53.936,0.0,0.0,0.83514184,1.1634196,0.0,0.0,0.6536252,0.9680053,0.0,0.0,0.45109499,1.2713653,0.0,0.0,0.58680993,1.5453881,0.0,0.0,-2.5326438E-4,0.99121064,895.31134,799.81683,800.6227,799.41394,718.4249,-0.32476806640625,-0.16253662109375,0.96051025390625,4.433746337890625,-2.998199462890625,-2.474822998046875,1,1.0,1.0,1.0,1.0,60.00
2022-11-01 22:08:54.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-01 22:08:54.952,0.0,0.0,0.83514184,1.1634196,0.0,0.0,0.6536252,0.9680053,0.0,0.0,0.45109499,1.2713653,0.0,0.0,0.58680993,1.5453881,0.0,0.0,-2.5326438E-4,0.99121064,882.4176,655.16486,767.1795,823.9927,834.87177,0.33392333984375,-0.11474609375,1.05206298828125,4.598236083984375,-24.142608642578125,-23.469696044921875,1,1.0,1.0,1.0,1.0,60.00
