TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2022-11-01 22:06:01.347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected Muse-9E89
2022-11-01 22:06:01.380,0.89765316,0.0,0.4874853,0.857122,0.40123898,0.0,0.374037,0.4107247,0.5431069,0.0,0.2883004,0.96338,0.9871485,0.0,0.8382908,1.538073,0.66352415,0.0,0.72970384,1.1239074,843.73627,752.674,782.0879,816.7399,783.69965,-0.18182373046875,-0.11956787109375,0.99456787109375,3.050537109375,-4.104766845703125,-0.949554443359375,1,1.0,1.0,1.0,1.0,60.00
2022-11-01 22:06:02.408,1.0658839,0.0,0.4874853,1.2268463,0.7537619,0.0,0.374037,1.0261124,1.236767,0.0,0.2883004,1.2840832,1.0150877,0.0,0.8382908,0.9827148,0.7244858,0.0,0.72970384,0.531883,803.0403,801.4286,774.0293,807.47253,732.9304,-0.1707763671875,-0.1007080078125,0.99481201171875,7.01324462890625,-0.874786376953125,-6.003875732421875,1,1.0,1.0,1.0,1.0,60.00
2022-11-01 22:06:02.707,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-01 22:06:03.232,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-01 22:06:03.420,0.9659167,0.0,0.4874853,1.1270913,0.5592793,0.0,0.374037,0.8668832,1.1382234,0.0,0.2883004,1.1884756,1.0041273,0.0,0.8382908,0.9242865,0.7027283,0.0,0.72970384,0.5456729,779.2674,808.68134,757.50916,772.8205,985.56775,0.39434814453125,-0.118896484375,0.96612548828125,11.312408447265625,-16.456451416015625,-11.955413818359375,1,1.0,1.0,1.0,1.0,60.00
2022-11-01 22:06:03.720,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-01 22:06:04.446,0.95507705,0.0,0.4874853,1.1270913,0.6014659,0.0,0.374037,0.8668832,1.0900265,0.0,0.2883004,1.1884756,1.016917,0.0,0.8382908,0.9242865,0.72374445,0.0,0.72970384,0.5456729,884.0293,690.6227,830.0366,815.5311,757.50916,0.54156494140625,-0.16943359375,0.8438720703125,10.5572509765625,-22.62481689453125,7.917938232421875,1,1.0,1.0,1.0,1.0,60.00
2022-11-01 22:06:04.837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-11-01 22:06:05.468,0.95507705,0.0,0.4874853,1.1270913,0.6014659,0.0,0.374037,0.8668832,1.0900265,0.0,0.2883004,1.1884756,1.016917,0.0,0.8382908,0.9242865,0.72374445,0.0,0.72970384,0.5456729,812.71063,735.7509,775.2381,828.8278,972.27106,0.61474609375,-0.17633056640625,0.78460693359375,1.607513427734375,-12.39654541015625,5.001983642578125,1,2.0,1.0,1.0,2.0,60.00
2022-11-01 22:06:06.489,1.1334485,0.0,0.4874853,1.1270913,0.88200384,0.0,0.374037,0.8668832,0.89440596,0.0,0.2883004,1.1884756,1.0323288,0.0,0.8382908,0.9242865,0.814587,0.0,0.72970384,0.5456729,895.31134,738.1685,849.7802,868.71796,769.19415,0.62078857421875,-0.207275390625,0.76007080078125,6.57958984375,-0.216827392578125,-4.8150634765625,1,1.0,1.0,1.0,1.0,55.00
