TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
11:03.6,0.7460585,0,0,0,0.7887641,0,0,0,0.4612801,0,0,0,0.7343673,0,0,0,0.67248094,0,0,0,12.297.435,6.072.161,85.139.197,14.195.238,7.341.392,0.494140625,-0.250671387,0.86505127,2.504.730.224.609.370,-474.029.541.015.625,-0.725250244,1,1,4,4,4,95,,201,RHC,Female,No,Right
11:03.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
11:04.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
11:04.6,0.963539,0,0,0,0.46733814,0,0,0,0.84315145,0,0,0,0.7100778,0,0,0,0.74022955,0,0,0,8.550.183,6.011.722,7.462.271,9.255.311,671.685,0.451843262,-0.258789063,0.87097168,1.472.930.908.203.120,-5.562.744.140.625,-0.964508057,1,1,4,4,4,95,,201,RHC,Female,No,Right
11:05.6,10.082.772,0,0,0,0.5208571,0,0,0,10.284.038,0,0,0,0.8291953,0,0,0,0.7826452,0,0,0,10.214.286,48.835.165,4.891.575,12.696.337,717.619,0.467407227,-0.261901855,0.876953125,3.416.900.634.765.620,-456.085.205.078.125,-1.727.142.333.984.370,1,1,4,4,4,95,,201,RHC,Female,No,Right
11:06.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
11:06.6,0.6030482,0,0,0,0.42275456,0,0,0,0.7454504,0,0,0,0.8901478,0,0,0,0.7290727,0,0,0,27.197.803,16.600.732,27.600.732,0,6.942.491,0.483520508,-0.248962402,0.860351563,3.910.369.873.046.870,-4.493.560.791.015.620,0.523376465,1,1,4,2,4,95,,201,RHC,Female,No,Right
11:07.6,0.7590421,0,0,0,0.8137271,0,0,0,0.8730292,0,0,0,0.67762285,0,0,0,0.6313201,0,0,0,33.201.465,26.271.063,36.626.373,0,6.096.337,0.492126465,-0.252990723,0.85546875,299.072.265.625,-438.140.869.140.625,-0.231781006,1,1,4,2,4,95,,201,RHC,Female,No,Right
11:08.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
11:08.7,0.8332181,0,0,0,0.82036746,0,0,0,0.9669831,0,0,0,0.78025675,0,0,0,0.61090046,0,0,0,2.796.337,25.263.736,31.227.106,10.476.191,6.281.685,0.477478027,-0.260864258,0.85144043,31.402.587.890.625,-6.639.404.296.875,0.672912598,1,1,2,2,4,95,,201,RHC,Female,No,Right
11:09.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
11:09.7,0.8760415,0,0,0,0.5815025,0,0,0,0.632122,0,0,0,0.80599636,0,0,0,0.6669786,0,0,0,27.721.613,967.033,23.007.326,0,66.886.444,0.488342285,-0.242492676,0.876708984,3.170.166.015.625,-4.478.607.177.734.370,-204.864.501.953.125,1,1,2,2,4,95,,201,RHC,Female,No,Right
11:09.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
11:10.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,201,RHC,Female,No,Right
11:10.7,0.76254106,0,0,0,0.5762961,0,0,0,0.55906326,0,0,0,0.711331,0,0,0,0.7046683,0,0,0,9.916.117,87.274.725,95.494.507,12.869.597,9.303.663,0.359069824,-0.217163086,0.919555664,2.385.101.318.359.370,-4.583.282.470.703.120,0.86730957,1,1,2,2,4,95,,201,RHC,Female,No,Right
