TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Partcipant,Test,Gender,English,Dominance
30:37.8,1.1215757,0,0,1.1425334,0.7240087,0,0,0.77647525,1.0824717,0,0,0.8766038,1.0607473,0,0,0.7673901,0.37844035,0,0,0.3375508,765.16486,940.4396,708.7546,791.3553,865.09155,0.564758301,0.432556152,0.726013184,1.899108887,-4.029998779,-2.370147705,1,2,2,2,2,70,,122,RHC,Female,Yes,Left
30:38.8,0.9429385,0,0,1.0147297,0.8345812,0,0,0.99588925,0.9860465,0,0,0.7483806,0.89460266,0,0,0.9318293,0.78288555,0,0,0.59350955,767.98535,832.4542,251.8315,816.7399,732.52747,0.577697754,0.445983887,0.696472168,5.375823975,-5.330963135,0.859832764,1,1,2,2,1,70,,122,RHC,Female,Yes,Left
30:39.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,RHC,Female,Yes,Left
30:39.8,0.98193616,0,0,1.3218774,0.6440587,0,0,0.8947701,0.91188616,0,0,1.1051217,0.9848907,0,0,0.8960606,0.72610414,0,0,0.6436053,792.1612,971.06226,797.8022,800.2198,731.7216,0.560546875,0.428894043,0.720153809,0.538330078,-6.220703125,-1.218719482,1,1,2,4,1,70,,122,RHC,Female,Yes,Left
30:40.8,0.8693904,0,0,1.3218774,0.46317452,0,0,0.8947701,0.85973537,0,0,1.1051217,1.1014621,0,0,0.8960606,0.65267915,0,0,0.6436053,763.95605,813.5165,858.24176,804.65204,799.011,0.600830078,0.437072754,0.66418457,3.155212402,-13.82461548,-4.994506836,1,1,2,4,1,70,,122,RHC,Female,Yes,Left
30:41.8,0.7163468,0,0,0.82585007,0.86935127,0,0,0.918184,1.1627529,0,0,0.84072375,1.101206,0,0,1.0739021,0.91779584,0,0,0.8330283,799.011,977.50916,607.2161,836.4835,775.64105,0.568237305,0.46685791,0.710754395,4.104766846,-4.306640625,6.273040771,1,1,4,2,1,70,,122,RHC,Female,Yes,Left
30:41.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,RHC,Female,Yes,Left
30:42.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,RHC,Female,Yes,Left
30:42.8,0.84326714,0,0,0.8904936,1.0283849,0,0,0.99314034,1.1342021,0,0,0.8278639,1.2457961,0,0,1.059517,1.0562041,0,0,0.85718155,786.52014,822.7839,656.3736,823.1868,726.8865,0.562194824,0.452209473,0.709960938,0.560760498,-4.119720459,-1.794433594,1,1,2,1,1,70,,122,RHC,Female,Yes,Left
30:43.8,0.84326714,0,0,0.8904936,1.0283849,0,0,0.99314034,1.1342021,0,0,0.8278639,1.2457961,0,0,1.059517,1.0562041,0,0,0.85718155,834.0659,437.17947,560.07324,836.4835,776.04395,0.563232422,0.444580078,0.720458984,1.570129395,-1.04675293,-1.413116455,1,1,1,2,1,70,,122,RHC,Female,Yes,Left
30:44.8,0.7107626,0,0,0.860275,0.57124496,0,0,0.79454017,1.0777556,0,0,0.8478193,1.1013427,0,0,0.856011,0.9393824,0,0,0.7835623,813.91943,733.3333,730.9158,876.3736,796.1905,0.59387207,0.471923828,0.664306641,7.476806641,-4.209442139,0.13458252,1,1,2,1,1,70,,122,RHC,Female,Yes,Left
30:45.9,1.16042,0,0,0.85409796,0.788049,0,0,0.68106055,1.2633759,0,0,0.8672614,1.1080912,0,0,0.8472144,0.9980719,0,0,0.72762316,836.8865,803.0403,861.06226,826.8132,749.0476,0.604797363,0.477539063,0.656616211,5.704803467,-5.7421875,-0.433654785,1,1,1,2,1,70,,122,RHC,Female,Yes,Left
30:46.9,1.5002536,0,0,0.8535422,1.1245688,0,0,0.825456,1.1861162,0,0,0.71045226,1.1827508,0,0,1.1971283,1.1152337,0,0,0.60911727,825.6044,793.36993,934.7985,857.8388,691.02563,0.612670898,0.490783691,0.653381348,5.914154053,-5.203857422,1.188812256,1,1,1,2,1,70,,122,RHC,Female,Yes,Left
30:46.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,RHC,Female,Yes,Left
30:47.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,RHC,Female,Yes,Left
30:47.9,1.5105833,0,0,0.8315779,1.1246408,0,0,0.8706474,1.1861162,0,0,0.5793342,1.1879518,0,0,1.1854005,1.1128349,0,0,0.6125608,794.17584,752.674,836.08057,814.7253,720.4396,0.60546875,0.482177734,0.662841797,2.287902832,-4.366455078,-0.179443359,1,1,1,2,1,75,,122,RHC,Female,Yes,Left
30:48.9,1.5105833,0,0,0.8315779,1.1246408,0,0,0.8706474,1.1861162,0,0,0.5793342,1.1879518,0,0,1.1854005,1.1128349,0,0,0.6125608,760.7326,794.17584,790.14655,757.50916,691.8315,0.525512695,0.450195313,0.767333984,-2.228088379,4.179534912,-3.244934082,1,1,1,4,1,75,,122,RHC,Female,Yes,Left
30:49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,RHC,Female,Yes,Left
30:49.9,1.5105833,0,0,0.8315779,1.1246408,0,0,0.8706474,1.1861162,0,0,0.5793342,1.1879518,0,0,1.1854005,1.1128349,0,0,0.6125608,803.44324,671.685,658.3883,773.6264,678.5348,0.225891113,0.127929688,0.970214844,-6.56463623,-3.96270752,0.201873779,1,2,4,4,2,75,,122,RHC,Female,Yes,Left
30:50.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,,,,,
