TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Participant,Test,Gender,English,Dominant
12:38.0,0,0.7158837,0.05111656,0.93881005,0,0.4623925,0.1470322,0.7898056,0,0.65803975,0.38361543,0.9841435,0,0.030020192,0.15525411,0.64919955,0,-0.5122024,-0.33718887,0.4218522,1.453.773,76.798.535,83.849.817,9.327.839,87.556.775,-0.028198242,-0.053222656,101.641.845.703.125,2.818.756.103.515.620,-4.837.493.896.484.370,-0.725250244,1,4,1,1,1,85,,204,RHC,Female,Yes,Right
12:38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHC,Female,Yes,Right
12:38.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHC,Female,Yes,Right
12:39.0,0,0.47276714,0.21286298,0.93881005,0,0.4577436,-0.018175928,0.7898056,0,0.7140197,0.37638143,0.9841435,0,-0.02916295,0.10607453,0.64919955,0,-0.39614657,-0.40317845,0.4218522,20.630.037,76.919.415,8.292.308,90.054.944,77.483.514,-0.028686523,-0.048278809,1.020.751.953.125,23.028.564.453.125,-4.792.633.056.640.620,0.396270752,1,4,1,1,1,85,,204,RHC,Female,Yes,Right
12:39.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHC,Female,Yes,Right
12:39.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHC,Female,Yes,Right
12:40.0,0,0.15559044,-0.06950985,0.93881005,0,0.115482494,0.07757104,0.7898056,0,0.74310726,0.4396121,0.9841435,0,-0.05392366,0.039542582,0.64919955,0,-0.5327097,-0.54545265,0.4218522,16.217.949,7.752.381,85.663.007,9.009.524,8.985.348,-0.040222168,-0.057250977,101.507.568.359.375,2.310.333.251.953.120,-0.904693604,0.201873779,1,4,1,1,2,85,,204,RHC,Female,Yes,Right
12:40.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHC,Female,Yes,Right
12:40.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHC,Female,Yes,Right
12:40.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHC,Female,Yes,Right
12:41.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHC,Female,Yes,Right
12:41.1,0,0.4537554,0.523906,0.93881005,0,0.08978326,0.23628698,0.7898056,0,0.44934145,0.38173476,0.9841435,0,0.059794985,0.07186948,0.64919955,0,-0.60942143,-0.411037,0.4218522,11.241.758,781.685,8.304.396,9.521.245,7.341.392,-0.03704834,-0.053161621,10.152.587.890.625,26.019.287.109.375,-6.287.994.384.765.620,-0.919647217,1,4,1,1,2,85,,204,RHC,Female,Yes,Right
12:41.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHC,Female,Yes,Right
12:41.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHC,Female,Yes,Right
12:42.1,0,0.57015634,0.75348085,0.93881005,0,0.1717642,0.30306527,0.7898056,0,0.33199456,0.5660373,0.9841435,0,-0.008613348,-0.04233093,0.64919955,0,-0.8184668,-0.57294977,0.4218522,15.146.154,7.792.674,80.989.014,7.139.927,6.636.264,-0.094604492,3.05E+06,1.013.427.734.375,5.166.473.388.671.870,-5.585.174.560.546.870,-0.201873779,1,4,1,1,2,85,,204,RHC,Female,Yes,Right
12:42.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHC,Female,Yes,Right
12:42.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,204,RHC,Female,Yes,Right
