TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Partcipant,Test,Gender,English,Dominance
32:59.2,0.40606853,0,0,0.8247857,0.36029467,0,0,0.13814095,0.11859315,0,0,0.47185972,0.60203797,0,0,0.7251,0.4116358,0,0,0.20694259,778.86444,1069.3773,682.5641,790.9524,777.25275,0.505310059,0.267883301,0.833557129,2.437438965,-5.495452881,0.216827393,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
32:59.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,122,LHS,Female,Yes,Left
33:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
33:00.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/jaw_clench,122,LHS,Female,Yes,Left
33:00.2,0.45494026,0,0,0.8468181,0.4191481,0,0,-0.120603606,0.083322816,0,0,0.33882225,0.6243961,0,0,0.75760645,0.46824852,0,0,0.27349144,833.2601,705.9341,587.0696,829.2308,790.9524,0.514648438,0.258239746,0.837219238,3.947753906,-4.538421631,-0.037384033,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
33:01.2,0.45494026,0,0,0.8468181,0.4191481,0,0,-0.120603606,0.083322816,0,0,0.33882225,0.6243961,0,0,0.75760645,0.46824852,0,0,0.27349144,805.05493,739.7802,687.3993,825.6044,731.7216,0.506958008,0.26159668,0.845214844,3.334655762,-4.80758667,-0.149536133,1,2,2,2,2,65,,122,LHS,Female,Yes,Left
33:01.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
33:02.2,0.45494026,0,0,0.8468181,0.4191481,0,0,-0.120603606,0.083322816,0,0,0.33882225,0.6243961,0,0,0.75760645,0.46824852,0,0,0.27349144,782.8938,1107.6556,874.35895,815.9341,631.39197,0.511657715,0.266540527,0.829772949,4.665527344,-3.73840332,1.413116455,1,2,2,2,2,65,,122,LHS,Female,Yes,Left
33:03.2,0.6011254,0,0,0.92170286,0.42509997,0,0,0.43259123,0.79670703,0,0,0.7621359,0.54812884,0,0,0.70149535,-0.032648772,0,0,0.09764811,780.07324,987.1795,1020.2198,798.20514,887.25275,0.535400391,0.266906738,0.823364258,2.98324585,-4.747772217,0.807495117,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
33:03.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink,122,LHS,Female,Yes,Left
33:04.2,0.5248605,0,0,0.8924421,0.4820151,0,0,0.6177611,0.7687479,0,0,0.8148457,0.5827627,0,0,0.6667144,0.2242591,0,0,0.19543107,810.696,860.65936,930.3663,829.2308,772.8205,0.504455566,0.240539551,0.849975586,4.433746338,-3.476715088,-3.775787354,1,1,2,2,1,65,,122,LHS,Female,Yes,Left
