TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Partcipant,Test,Gender,English,Dominance
15:51.7,1.7951902,1.49477,0,0,1.5022557,1.2200973,0,0,1.4133965,0.46499658,0,0,1.0053377,0.028877808,0,0,1.0451657,0.00867746,0,0,909.41394,19.74359,82.1978,896.1172,731.31866,0.535339355,0.095031738,0.851745605,-1.98135376,-10.79650879,-4.254302979,1,2,1,4,2,50,,117,RHC,M,Yes,Left
15:52.7,1.7951902,1.49477,0,0,1.5022557,1.2200973,0,0,1.4133965,0.46499658,0,0,1.0053377,0.028877808,0,0,1.0451657,0.00867746,0,0,892.8938,290.91574,489.1575,896.52014,855.82416,0.606262207,0.070800781,0.817810059,4.463653564,-8.052520752,-0.411224365,1,2,4,2,2,50,,118,RHC,M,Yes,Left
15:53.7,0.6942934,1.49477,0,1.030252,0.79213095,1.2200973,0,0.40281734,0.9682651,0.46499658,0,0.59223425,1.1556392,0.028877808,0,1.268764,0.97139996,0.00867746,0,0.89619046,848.97437,645.09155,312.67398,846.55676,889.67035,0.606506348,0.082092285,0.82019043,3.671112061,-8.374023438,-1.659851074,1,1,1,4,1,50,,119,RHC,M,Yes,Left
15:54.7,0.9521312,1.49477,0,0.9567782,0.632159,1.2200973,0,0.5112562,0.98502547,0.46499658,0,1.0781413,1.0656056,0.028877808,0,1.192953,0.8675515,0.00867746,0,0.9258865,898.93774,894.90845,538.315,817.9487,805.4579,0.608642578,0.073669434,0.816040039,2.96081543,-3.813171387,-0.082244873,1,1,1,4,1,50,,120,RHC,M,Yes,Left
15:55.7,0.6512547,1.49477,0,0.8600439,0.25673306,1.2200973,0,0.4366614,0.73578674,0.46499658,0,1.0640613,0.99655575,0.028877808,0,1.1310328,0.85224336,0.00867746,0,0.7921949,881.6117,975.09155,915.4579,883.22345,676.1172,0.588378906,0.081542969,0.822692871,-0.747680664,-3.775787354,-0.792541504,1,1,1,4,1,50,,121,RHC,M,Yes,Left
15:56.7,0.47471854,1.49477,0,0.5380803,0.67267907,1.2200973,0,0.904658,0.8715032,0.46499658,0,0.5694639,0.9852524,0.028877808,0,0.84246236,0.86425686,0.00867746,0,1.2113999,828.4249,1621.7949,1012.1612,821.978,713.1868,0.624938965,0.081481934,0.791931152,2.923431396,-6.258087158,0.560760498,1,1,1,4,1,50,,122,RHC,M,Yes,Left
15:57.7,0.56246835,1.49477,0,0.59738505,0.7081099,1.2200973,0,0.7984415,0.7607981,0.46499658,0,0.6858059,0.8205159,0.028877808,0,0.9080985,0.7293512,0.00867746,0,1.2437894,896.52014,771.6117,630.18317,864.68866,832.4542,0.642150879,0.081970215,0.790710449,3.648681641,-3.992614746,0.837402344,1,1,4,4,1,50,,123,RHC,M,Yes,Left
15:58.7,0.18329224,1.49477,0,0.55863917,0.23875493,1.2200973,0,0.16371973,0.3513067,0.46499658,0,0.84082526,0.8318889,0.028877808,0,1.0708225,0.8423645,0.00867746,0,0.8558787,877.1795,585.05493,1002.49084,865.89746,697.8755,0.642944336,0.083251953,0.788757324,3.177642822,-4.575805664,0.029907227,1,1,2,4,1,50,,124,RHC,M,Yes,Left
15:59.7,0.078737915,1.49477,0,0.4962331,0.106701784,1.2200973,0,0.022452438,0.78507805,0.46499658,0,0.7751799,0.90923744,0.028877808,0,0.94382,0.8550595,0.00867746,0,0.87050605,854.21246,630.18317,757.50916,863.47986,782.8938,0.649414063,0.092102051,0.780456543,3.663635254,-4.269256592,0.426177979,1,1,2,4,1,50,,125,RHC,M,Yes,Left
16:00.8,0.23870972,1.49477,0,0.03853469,0.11107416,1.2200973,0,0.022981886,0.79369783,0.46499658,0,0.60876215,0.888101,0.028877808,0,1.0099623,0.816462,0.00867746,0,0.91935635,890.87915,1621.7949,548.7912,902.96704,980.7326,0.652770996,0.081298828,0.769897461,3.304748535,-4.613189697,0.299072266,1,1,2,4,1,50,,126,RHC,M,Yes,Left
