TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,AUX_RIGHT,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,Gyro_X,Gyro_Y,Gyro_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements,Partcipant,Test,Gender,English,Dominance
54:56.7,0.24444807,0,0,0.26189542,0.004794301,0,0,-0.11968058,0.3863031,0,0,0.71367836,0.7168139,0,0,0.9800848,0.4341041,0,0,0.5398917,816.7399,808.2784,675.31134,815.12823,708.7546,0.495422363,0.103149414,0.891906738,3.89541626,-4.471130371,1.764526367,1,1,4,2,1,75,,124,LHC,Female,Yes,Right
54:57.7,0.13852732,0,0,0.124905944,-0.15727003,0,0,-0.086929604,0.31785816,0,0,0.6037675,0.64396894,0,0,0.87858003,0.4480452,0,0,0.5136574,855.42126,873.5531,721.2454,814.7253,813.5165,0.491394043,0.095458984,0.879394531,2.086029053,-4.680480957,-0.620574951,1,1,4,2,1,75,,124,LHC,Female,Yes,Right
54:58.7,-0.029492682,0,0,0.15573402,-0.07603521,0,0,0.18286476,0.2182411,0,0,0.6902186,0.5919342,0,0,0.743791,0.46301892,0,0,0.42834824,834.4689,1008.1319,755.4945,804.2491,693.0403,0.501464844,0.098144531,0.875915527,2.729034424,-4.747772217,-1.547698975,1,1,4,2,1,75,,124,LHC,Female,Yes,Right
54:59.7,0.10128674,0,0,0.10178784,-0.111053646,0,0,0.26462436,0.57982576,0,0,0.850556,0.6862743,0,0,0.7764558,0.357894,0,0,0.39238688,834.87177,635.82416,555.64105,832.4542,903.36993,0.506530762,0.098937988,0.880615234,3.259887695,-4.777679443,-0.88973999,1,1,4,2,1,75,,124,LHC,Female,Yes,Right
55:00.8,0.18668528,0,0,0.13254648,0.09902122,0,0,0.106766745,0.5631377,0,0,0.91596043,0.6528687,0,0,0.7450806,0.25804675,0,0,0.5112012,835.2747,628.97437,554.0293,819.5604,751.06226,0.507568359,0.097290039,0.87890625,3.058013916,-4.87487793,-1.039276123,1,1,4,2,1,75,,124,LHC,Female,Yes,Right
55:01.8,0.11747235,0,0,0.2774228,-0.04522688,0,0,7.16E-04,0.44881272,0,0,0.7634141,0.7182914,0,0,0.7730674,0.42055267,0,0,0.4119143,835.2747,1025.8608,795.78754,830.84247,733.3333,0.507019043,0.07989502,0.876831055,2.482299805,-5.226287842,-0.426177979,1,1,4,2,1,75,,124,LHC,Female,Yes,Right
55:02.8,0.36701235,0,0,0.23821677,0.39422023,0,0,0.2907797,0.3911395,0,0,0.7946715,0.5973285,0,0,0.7993927,0.48031595,0,0,0.53433603,836.08057,994.83514,799.011,798.60803,885.2381,0.497924805,0.088806152,0.883483887,2.684173584,-4.74029541,-1.614990234,1,1,4,2,1,75,,124,LHC,Female,Yes,Right
55:03.8,0.63853014,0,0,0.47272998,0.53065157,0,0,0.22484408,0.2544756,0,0,0.76569897,0.53801656,0,0,0.8445487,0.5576696,0,0,0.7151469,842.52747,654.35895,568.1319,804.2491,791.75824,0.50012207,0.083740234,0.878295898,2.400054932,-4.463653564,-0.254211426,1,1,4,2,1,90,,124,LHC,Female,Yes,Right
55:04.8,0.08086252,0,0,0.056394834,0.12445403,0,0,0.04904232,0.381282,0,0,0.56088316,0.5613172,0,0,0.8243633,0.80423623,0,0,0.6359724,806.6667,746.2271,601.1722,809.4872,707.9487,0.501342773,0.091247559,0.886535645,2.661743164,-4.373931885,-0.037384033,1,1,4,2,1,90,,124,LHC,Female,Yes,Right
55:05.8,0.38456273,0,0,0.43795848,0.052554,0,0,0.29494703,0.4171045,0,0,0.5692316,0.65689456,0,0,0.74631083,0.6717977,0,0,0.6883294,823.5897,238.13187,556.8498,823.9927,1043.1868,0.500305176,0.09161377,0.881958008,2.557067871,-4.643096924,0.695343018,1,1,4,2,1,90,,124,LHC,Female,Yes,Right
55:06.8,0.48046708,0,0,0.602348,0.18274632,0,0,0.21784464,0.37600952,0,0,0.65982723,0.63570607,0,0,0.9582287,0.4593302,0,0,0.7539514,812.3077,512.1245,501.64835,823.9927,813.91943,0.488464355,0.101013184,0.891540527,3.319702148,-5.316009521,-0.328979492,1,1,4,2,1,90,,124,LHC,Female,Yes,Right
55:07.8,0.51936734,0,0,0.7298536,0.48611888,0,0,0.6525096,0.8045984,0,0,0.9701132,0.71556705,0,0,1.0185236,0.5095126,0,0,0.6028305,830.0366,856.63007,682.96704,805.05493,651.53845,0.501586914,0.096313477,0.879638672,2.856140137,-4.800109863,-1.031799316,1,1,4,2,1,90,,124,LHC,Female,Yes,Right
55:08.8,0.58936757,0,0,0.87414056,0.43542278,0,0,0.6514078,0.8045984,0,0,0.88207036,0.78489053,0,0,0.9689261,0.5120992,0,0,0.5554136,829.6337,642.27106,670.4762,819.9634,930.7692,0.503051758,0.095275879,0.878723145,3.454284668,-3.603820801,0.515899658,1,1,4,2,1,90,,124,LHC,Female,Yes,Right
55:09.8,-0.022377782,0,0,0.421423,0.25077537,0,0,-0.048453853,0.36819974,0,0,0.69426054,0.7914858,0,0,0.90295,0.5223409,0,0,0.48191962,819.9634,597.1429,641.8681,803.0403,877.98535,0.509765625,0.099609375,0.880981445,2.691650391,-3.902893066,0.418701172,1,1,4,2,1,90,,124,LHC,Female,Yes,Right
55:10.9,-0.10521989,0,0,0.33046415,0.12634535,0,0,0.25424063,0.39323303,0,0,0.5379566,0.6170615,0,0,0.8589854,0.36137992,0,0,0.4474686,830.84247,856.63007,622.52747,805.4579,649.5238,0.499694824,0.094421387,0.88067627,2.811279297,-3.69354248,-0.014953613,1,1,4,2,1,90,,124,LHC,Female,Yes,Right
55:11.9,0.21526039,0,0,0.40238243,0.20043267,0,0,0.33986497,0.45555466,0,0,0.6340052,0.57627714,0,0,0.7743168,0.4672054,0,0,0.4980659,818.7546,810.293,653.1502,827.2161,689.41394,0.499389648,0.090637207,0.876586914,3.89541626,-5.046844482,0.209350586,1,1,4,2,1,90,,124,LHC,Female,Yes,Right
55:12.9,0.31514078,0,0,0.40610814,0.024287976,0,0,0.45423433,0.2187963,0,0,0.56360185,0.57123804,0,0,0.77431035,0.45976952,0,0,0.546281,810.293,617.28937,597.1429,812.3077,690.6227,0.51965332,0.089599609,0.872741699,3.035583496,-4.493560791,-0.463562012,1,1,4,2,1,90,,124,LHC,Female,Yes,Right
55:13.9,0.37100202,0,0,0.4044028,0.29753727,0,0,0.5379308,0.42605963,0,0,0.5666971,0.6998935,0,0,0.76058984,0.45779398,0,0,0.50772756,822.7839,413.00366,622.9304,840.10986,882.01465,0.484741211,0.112670898,0.874816895,0.164489746,-0.037384033,-0.755157471,1,1,4,2,1,75,,124,LHC,Female,Yes,Right
55:14.9,0.5361445,0,0,0.49446526,0.434806,0,0,0.3138772,0.5239061,0,0,0.6053718,0.6490775,0,0,0.89016765,0.61066943,0,0,0.58096904,902.96704,674.10254,647.50916,898.1319,707.9487,0.575866699,0.113220215,0.843566895,3.663635254,-6.848754883,0.179443359,1,1,4,2,1,75,,124,LHC,Female,Yes,Right
55:15.9,0.3237015,0,0,0.39346188,0.3740191,0,0,0.21457095,-0.11606135,0,0,0.50129634,0.58225554,0,0,0.953239,0.6780159,0,0,0.7186477,809.4872,971.06226,790.14655,812.3077,810.293,0.553771973,0.123352051,0.842041016,2.75894165,-4.306640625,-0.104675293,1,1,4,2,1,75,,124,LHC,Female,Yes,Right
